"date","ipi"
1990-01-01,27.77
1990-02-01,25.11
1990-03-01,30.38
1990-04-01,29.09
1990-05-01,30.04
1990-06-01,29.59
1990-07-01,28.12
1990-08-01,30.02
1990-09-01,29.29
1990-10-01,30.04
1990-11-01,29.83
1990-12-01,29.64
1991-01-01,30.17
1991-02-01,30.85
1991-03-01,30.18
1991-04-01,30.99
1991-05-01,30.4
1991-06-01,30.63
1991-07-01,30.43
1991-08-01,31.21
1991-09-01,31.29
1991-10-01,31.99
1991-11-01,31.78
1991-12-01,33.14
1992-01-01,32.57
1992-02-01,32.93
1992-03-01,32.09
1992-04-01,33.87
1992-05-01,34.06
1992-06-01,33.79
1992-07-01,34.49
1992-08-01,35.92
1992-09-01,31.93
1992-10-01,33.84
1992-11-01,34.36
1992-12-01,33.52
1993-01-01,35.42
1993-02-01,35.58
1993-03-01,36.12
1993-04-01,34.24
1993-05-01,34.51
1993-06-01,35.53
1993-07-01,35.2
1993-08-01,34.27
1993-09-01,36.14
1993-10-01,35.34
1993-11-01,36.14
1993-12-01,37.86
1994-01-01,34.47
1994-02-01,34.27
1994-03-01,34.44
1994-04-01,35.13
1994-05-01,35.16
1994-06-01,35.92
1994-07-01,36.94
1994-08-01,37.35
1994-09-01,36.83
1994-10-01,37.53
1994-11-01,37.63
1994-12-01,38.1
1995-01-01,37.18
1995-02-01,37.42
1995-03-01,38.51
1995-04-01,38.61
1995-05-01,39.27
1995-06-01,39.39
1995-07-01,39
1995-08-01,38.86
1995-09-01,39.31
1995-10-01,39.05
1995-11-01,37.55
1995-12-01,39.34
1996-01-01,39.88
1996-02-01,39.56
1996-03-01,40.49
1996-04-01,39.97
1996-05-01,41.66
1996-06-01,40.05
1996-07-01,37.75
1996-08-01,38.92
1996-09-01,39.78
1996-10-01,39.16
1996-11-01,41.97
1996-12-01,44.02
1997-01-01,41.34
1997-02-01,40.53
1997-03-01,40.08
1997-04-01,41.35
1997-05-01,40.42
1997-06-01,40.26
1997-07-01,41.3
1997-08-01,42.47
1997-09-01,41.88
1997-10-01,46.16
1997-11-01,38.07
1997-12-01,41.62
1998-01-01,43.13
1998-02-01,45.61
1998-03-01,44.53
1998-04-01,45.32
1998-05-01,45.73
1998-06-01,45.12
1998-07-01,47.73
1998-08-01,45.27
1998-09-01,46.17
1998-10-01,45.47
1998-11-01,45.89
1998-12-01,46.87
1999-01-01,44.52
1999-02-01,48.84
1999-03-01,47.38
1999-04-01,45.47
1999-05-01,47.08
1999-06-01,50.01
1999-07-01,47.41
1999-08-01,47.93
1999-09-01,46.9
1999-10-01,50.11
1999-11-01,51.04
1999-12-01,50.22
2000-01-01,51.64
2000-02-01,49.66
2000-03-01,50.01
2000-04-01,48.62
2000-05-01,53.3
2000-06-01,52.05
2000-07-01,50.52
2000-08-01,50.88
2000-09-01,53.38
2000-10-01,53.89
2000-11-01,54.18
2000-12-01,55.6
2001-01-01,54.45
2001-02-01,55.87
2001-03-01,57.77
2001-04-01,58.83
2001-05-01,59.67
2001-06-01,59.11
2001-07-01,58.72
2001-08-01,60.91
2001-09-01,58.27
2001-10-01,59.2
2001-11-01,59.19
2001-12-01,59.99
2002-01-01,62.86
2002-02-01,61.41
2002-03-01,62.62
2002-04-01,62.78
2002-05-01,60.86
2002-06-01,61.1
2002-07-01,61.21
2002-08-01,62.11
2002-09-01,65.08
2002-10-01,60.64
2002-11-01,63.66
2002-12-01,59.8
2003-01-01,62.69
2003-02-01,62.71
2003-03-01,64.31
2003-04-01,63.59
2003-05-01,63.28
2003-06-01,65.36
2003-07-01,68.6
2003-08-01,66.15
2003-09-01,64.94
2003-10-01,65.78
2003-11-01,65.65
2003-12-01,67.64
2004-01-01,67.22
2004-02-01,67.92
2004-03-01,67.6
2004-04-01,66.21
2004-05-01,70.06
2004-06-01,68.31
2004-07-01,67.35
2004-08-01,68.11
2004-09-01,67.56
2004-10-01,69.02
2004-11-01,69.31
2004-12-01,68.83
2005-01-01,68.43
2005-02-01,69.7
2005-03-01,68.22
2005-04-01,72.74
2005-05-01,70.41
2005-06-01,70.25
2005-07-01,71.06
2005-08-01,72.78
2005-09-01,73.23
2005-10-01,72.22
2005-11-01,72.77
2005-12-01,72.53
2006-01-01,69.97
2006-02-01,72.6
2006-03-01,73.83
2006-04-01,74.66
2006-05-01,73.24
2006-06-01,72.52
2006-07-01,73.84
2006-08-01,69.36
2006-09-01,71.97
2006-10-01,72.59
2006-11-01,72.03
2006-12-01,71.63
2007-01-01,76.56
2007-02-01,73.53
2007-03-01,71.71
2007-04-01,71.34
2007-05-01,73.19
2007-06-01,72.03
2007-07-01,73.38
2007-08-01,73.54
2007-09-01,73.83
2007-10-01,71.88
2007-11-01,71.77
2007-12-01,73.89
2008-01-01,72.72
2008-02-01,75.4
2008-03-01,73.7
2008-04-01,72.09
2008-05-01,69.72
2008-06-01,71.38
